source_url,title,authors,abstract_url,pdf_url,submitted_date
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,"Cooperative Mapping,Localization, and Beam Management via Multi-Modal SLAM in ISAC Systems","Hang Que,Jie Yang,Tao Du,Shuqiang Xia,Chao-Kai Wen,Shi Jin",https://arxiv.org/abs/2507.05718,https://arxiv.orghttps://arxiv.org/pdf/2507.05718,"Submitted8 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,DragonFly: Single mmWave Radar 3DLocalizationof Highly Dynamic Tags in GPS-Denied Environments,"Skanda Harisha,Jimmy G. D. Hester,Aline Eid",https://arxiv.org/abs/2507.04602,https://arxiv.orghttps://arxiv.org/pdf/2507.04602,"Submitted6 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Lidar Variability: A Novel Dataset and Comparative Study of Solid-State and Spinning Lidars,"Doumegna Mawuto Koudjo Felix,Xianjia Yu,Jiaqiang Zhang,Sier Ha,Zhuo Zou,Tomi Westerlund",https://arxiv.org/abs/2507.04321,https://arxiv.orghttps://arxiv.org/pdf/2507.04321,"Submitted6 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,A Privacy-PreservingIndoorLocalizationSystem based on Hierarchical Federated Learning,"Masood Jan,Wafa Njima,Xun Zhang",https://arxiv.org/abs/2507.01581,https://arxiv.orghttps://arxiv.org/pdf/2507.01581,"Submitted2 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Transfer Learning for VLC-basedindoorLocalization: Addressing Environmental Variability,"Masood Jan,Wafa Njima,Xun Zhang,Alexander Artemenko",https://arxiv.org/abs/2507.01575,https://arxiv.orghttps://arxiv.org/pdf/2507.01575,"Submitted2 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,RaGNNarok: A Light-Weight Graph Neural Network for Enhancing Radar Point Clouds on Unmanned Ground Vehicles,"David Hunt,Shaocheng Luo,Spencer Hallyburton,Shafii Nillongo,Yi Li,Tingjun Chen,Miroslav Pajic",https://arxiv.org/abs/2507.00937,https://arxiv.orghttps://arxiv.org/pdf/2507.00937,"Submitted1 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Generation ofIndoorOpen Street Maps for Robot Navigation from CAD Files,"Jiajie Zhang,Shenrui Wu,Xu Ma,Sören Schwertfeger",https://arxiv.org/abs/2507.00552,https://arxiv.orghttps://arxiv.org/pdf/2507.00552,"Submitted1 July, 2025;originally announcedJuly 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,MGPRL: Distributed Multi-Gaussian Processes for Wi-Fi-based Multi-Robot RelativeLocalizationin LargeIndoorEnvironments,"Sai Krishna Ghanta,Ramviyas Parasuraman",https://arxiv.org/abs/2506.23514,https://arxiv.orghttps://arxiv.org/pdf/2506.23514,"Submitted30 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Embodied Domain Adaptation for Object Detection,"Xiangyu Shi,Yanyuan Qiao,Lingqiao Liu,Feras Dayoub",https://arxiv.org/abs/2506.21860,https://arxiv.orghttps://arxiv.org/pdf/2506.21860,"Submitted26 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Cooperative Circumnavigation for Multi-Quadrotor Systems via Onboard Sensing,"Xueming Liu,Lin Li,Xiang Zhou,Qingrui Zhang,Tianjiang Hu",https://arxiv.org/abs/2506.20954,https://arxiv.orghttps://arxiv.org/pdf/2506.20954,"Submitted25 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,HOIverse: A Synthetic Scene Graph Dataset With Human Object Interactions,"Mrunmai Vivek Phatak,Julian Lorenz,Nico Hörmann,Jörg Hähner,Rainer Lienhart",https://arxiv.org/abs/2506.19639,https://arxiv.orghttps://arxiv.org/pdf/2506.19639,"Submitted24 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Experimental Assessment of A Framework for In-body RF-backscatteringLocalization,"Noa Jie Vives Zaguirre,Oscar Lasierra,Filip Lemic,Gerard Calvo Bartra,Pablo José Galván Calderón,Gines Garcia-Aviles,Sergi Abadal,Xavier Costa-Pérez",https://arxiv.org/abs/2506.19499,https://arxiv.orghttps://arxiv.org/pdf/2506.19499,"Submitted24 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,GRAND-SLAM:LocalOptimization for Globally Consistent Large-Scale Multi-Agent Gaussian SLAM,"Annika Thomas,Aneesa Sonawalla,Alex Rose,Jonathan P. How",https://arxiv.org/abs/2506.18885,https://arxiv.orghttps://arxiv.org/pdf/2506.18885,"Submitted23 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Crowdsourcing UbiquitousIndoorLocalizationwith Non-Cooperative Wi-Fi Ranging,"Emerson Sie,Enguang Fan,Federico Cifuentes-Urtubey,Deepak Vasisht",https://arxiv.org/abs/2506.18317,https://arxiv.orghttps://arxiv.org/pdf/2506.18317,"Submitted5 July, 2025;v1submitted 23 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Towards ExplainableIndoorLocalization: Interpreting Neural Network Learning on Wi-Fi Fingerprints Using Logic Gates,"Danish Gufran,Sudeep Pasricha",https://arxiv.org/abs/2506.15559,https://arxiv.orghttps://arxiv.org/pdf/2506.15559,"Submitted18 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,DAILOC: Domain-Incremental Learning forIndoorLocalizationusing Smartphones,"Akhil Singampalli,Danish Gufran,Sudeep Pasricha",https://arxiv.org/abs/2506.15554,https://arxiv.orghttps://arxiv.org/pdf/2506.15554,"Submitted18 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,TACS-Graphs: Traversability-Aware Consistent Scene Graphs for Ground RobotIndoorLocalizationand Mapping,"Jeewon Kim,Minho Oh,Hyun Myung",https://arxiv.org/abs/2506.14178,https://arxiv.orghttps://arxiv.org/pdf/2506.14178,"Submitted17 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Multiview Geometric Regularization of Gaussian Splatting for Accurate Radiance Fields,"Jungeon Kim,Geonsoo Park,Seungyong Lee",https://arxiv.org/abs/2506.13508,https://arxiv.orghttps://arxiv.org/pdf/2506.13508,"Submitted16 June, 2025;originally announcedJune 2025."
https://arxiv.org/search/?query=indoor%20localization&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Rasterizing Wireless Radiance Field via Deformable 2D Gaussian Splatting,"Mufan Liu,Cixiao Zhang,Qi Yang,Yujie Cao,Yiling Xu,Yin Xu,Shu Sun,Mingzeng Dai,Yunfeng Guan",https://arxiv.org/abs/2506.12787,https://arxiv.orghttps://arxiv.org/pdf/2506.12787,"Submitted18 June, 2025;v1submitted 15 June, 2025;originally announcedJune 2025."
