source_url,title,authors,abstract_url,pdf_url,submitted_date
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,CFG-Ctrl: Control-Based Classifier-Free Diffusion Guidance,"Hanyang Wang,Yiyang Liu,Jiawei Chi,Fangfu Liu,Ran Xue,Yueqi Duan",https://arxiv.org/abs/2603.03281,https://arxiv.orghttps://arxiv.org/pdf/2603.03281,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,How to Peel with a Knife: Aligning Fine-Grained Manipulation with Human Preference,"Toru Lin,Shuying Deng,Zhao-Heng Yin,Pieter Abbeel,Jitendra Malik",https://arxiv.org/abs/2603.03280,https://arxiv.orghttps://arxiv.org/pdf/2603.03280,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,LearningDemographic-Conditioned Mobility Trajectories with Aggregate Supervision,"Jessie Z. Li,Zhiqing Hong,Toru Shirakawa,Serina Chang",https://arxiv.org/abs/2603.03275,https://arxiv.orghttps://arxiv.org/pdf/2603.03275,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Gravity Falls: A Comparative Analysis of Domain-Generation Algorithm (DGA) Detection Methods for Mobile Device Spearphishing,"Adam Dorian Wong,John D. Hastings",https://arxiv.org/abs/2603.03270,https://arxiv.orghttps://arxiv.org/pdf/2603.03270,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,LoGeR: Long-Context Geometric Reconstruction with Hybrid Memory,"Junyi Zhang,Charles Herrmann,Junhwa Hur,Chen Sun,Ming-Hsuan Yang,Forrester Cole,Trevor Darrell,Deqing Sun",https://arxiv.org/abs/2603.03269,https://arxiv.orghttps://arxiv.org/pdf/2603.03269,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Physics-informed post-processing of stabilized finite element solutions for transient convection-dominated problems,"Süleyman Cengizci,Ömür Uğur,Srinivasan Natesan",https://arxiv.org/abs/2603.03259,https://arxiv.orghttps://arxiv.org/pdf/2603.03259,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Speculative Speculative Decoding,"Tanishq Kumar,Tri Dao,Avner May",https://arxiv.org/abs/2603.03251,https://arxiv.orghttps://arxiv.org/pdf/2603.03251,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,On Geometry Regularization in Autoencoder Reduced-Order Models with Latent Neural ODE Dynamics,Mikhail Osipov,https://arxiv.org/abs/2603.03238,https://arxiv.orghttps://arxiv.org/pdf/2603.03238,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,The elbow statistic: Multiscale clustering statistical significance,Francisco J. Perez-Reche,https://arxiv.org/abs/2603.03235,https://arxiv.orghttps://arxiv.org/pdf/2603.03235,"Submitted3 March, 2026;originally announcedMarch 2026."
https://arxiv.org/search/?query=machine%20learning&searchtype=all&abstracts=show&order=-announced_date_first&size=50&start=0,Guiding Sparse Neural Networks with Neurobiological Principles to Elicit Biologically Plausible Representations,"Patrick Inoue,Florian Röhrbein,Andreas Knoblauch",https://arxiv.org/abs/2603.03234,https://arxiv.orghttps://arxiv.org/pdf/2603.03234,"Submitted3 March, 2026;originally announcedMarch 2026."
