source_url,title,authors,journal_info,abstract_url
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deep-learningseismology.,"Mousavi SM, Beroza GC.",Science. 2022 Aug 12;377(6607):eabm4470. doi: 10.1126/science.abm4470. Epub 2022 Aug 12.,https://pubmed.ncbi.nlm.nih.gov/35951699/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Explainable artificial intelligence (XAI) indeeplearning-based medical image analysis.,"van der Velden BHM, Kuijf HJ, Gilhuijs KGA, Viergever MA.",Med Image Anal. 2022 Jul;79:102470. doi: 10.1016/j.media.2022.102470. Epub 2022 May 4.,https://pubmed.ncbi.nlm.nih.gov/35576821/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Emerging role ofdeeplearning-based artificial intelligence in tumor pathology.,"Jiang Y, Yang M, Wang S, Li X, Sun Y.",Cancer Commun (Lond). 2020 Apr;40(4):154-166. doi: 10.1002/cac2.12012. Epub 2020 Apr 11.,https://pubmed.ncbi.nlm.nih.gov/32277744/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deeplearningfor electroencephalogram (EEG) classification tasks: a review.,"Craik A, He Y, Contreras-Vidal JL.",J Neural Eng. 2019 Jun;16(3):031001. doi: 10.1088/1741-2552/ab0ab5. Epub 2019 Feb 26.,https://pubmed.ncbi.nlm.nih.gov/30808014/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Multimodaldeeplearningfor biomedical data fusion: a review.,"Stahlschmidt SR, Ulfenborg B, Synnergren J.",Brief Bioinform. 2022 Mar 10;23(2):bbab569. doi: 10.1093/bib/bbab569.,https://pubmed.ncbi.nlm.nih.gov/35089332/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,DeepLearningin Diverse Intelligent Sensor Based Systems.,"Zhu Y, Wang M, Yin X, Zhang J, Meijering E, Hu J.",Sensors (Basel). 2022 Dec 21;23(1):62. doi: 10.3390/s23010062.,https://pubmed.ncbi.nlm.nih.gov/36616657/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deeplearningmethods for medical image fusion: A review.,"Zhou T, Cheng Q, Lu H, Li Q, Zhang X, Qiu S.",Comput Biol Med. 2023 Jun;160:106959. doi: 10.1016/j.compbiomed.2023.106959. Epub 2023 Apr 20.,https://pubmed.ncbi.nlm.nih.gov/37141652/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,DeepLearningin Medical Hyperspectral Images: A Review.,"Cui R, Yu H, Xu T, Xing X, Cao X, Yan K, Chen J.",Sensors (Basel). 2022 Dec 13;22(24):9790. doi: 10.3390/s22249790.,https://pubmed.ncbi.nlm.nih.gov/36560157/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deeplearningin wastewater treatment: a critical review.,"Alvi M, Batstone D, Mbamba CK, Keymer P, French T, Ward A, Dwyer J, Cardell-Oliver R.",Water Res. 2023 Oct 15;245:120518. doi: 10.1016/j.watres.2023.120518. Epub 2023 Aug 25.,https://pubmed.ncbi.nlm.nih.gov/37716298/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deeplearningmethods for molecular representation and property prediction.,"Li Z, Jiang M, Wang S, Zhang S.",Drug Discov Today. 2022 Dec;27(12):103373. doi: 10.1016/j.drudis.2022.103373. Epub 2022 Sep 24.,https://pubmed.ncbi.nlm.nih.gov/36167282/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Leveragingdeeplearningto improve vaccine design.,"Hederman AP, Ackerman ME.",Trends Immunol. 2023 May;44(5):333-344. doi: 10.1016/j.it.2023.03.002. Epub 2023 Mar 30.,https://pubmed.ncbi.nlm.nih.gov/37003949/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Protein design viadeeplearning.,"Ding W, Nakai K, Gong H.",Brief Bioinform. 2022 May 13;23(3):bbac102. doi: 10.1093/bib/bbac102.,https://pubmed.ncbi.nlm.nih.gov/35348602/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Deeplearningfor platelet transfusion.,"Li N, Down DG.",Blood. 2023 Dec 28;142(26):2231-2232. doi: 10.1182/blood.2023022981.,https://pubmed.ncbi.nlm.nih.gov/38153770/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,DeepLearningfor Image Analysis in Kidney Care.,"Zhang H, Botler M, Kooman JP.",Adv Kidney Dis Health. 2023 Jan;30(1):25-32. doi: 10.1053/j.akdh.2022.11.003. Epub 2022 Dec 14.,https://pubmed.ncbi.nlm.nih.gov/36723278/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Deeplearningin photoacoustic imaging: a review.,"Deng H, Qiao H, Dai Q, Ma C.",J Biomed Opt. 2021 Apr;26(4):040901. doi: 10.1117/1.JBO.26.4.040901.,https://pubmed.ncbi.nlm.nih.gov/33837678/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Multimodaldeeplearningapproaches for single-cell multi-omics data integration.,"Athaya T, Ripan RC, Li X, Hu H.",Brief Bioinform. 2023 Sep 20;24(5):bbad313. doi: 10.1093/bib/bbad313.,https://pubmed.ncbi.nlm.nih.gov/37651607/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Deeplearningin regulatory genomics: from identification to design.,"Hu X, Fernie AR, Yan J.",Curr Opin Biotechnol. 2023 Feb;79:102887. doi: 10.1016/j.copbio.2022.102887. Epub 2023 Jan 12.,https://pubmed.ncbi.nlm.nih.gov/36640453/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Genomics enters thedeeplearningera.,"Routhier E, Mozziconacci J.",PeerJ. 2022 Jun 24;10:e13613. doi: 10.7717/peerj.13613. eCollection 2022.,https://pubmed.ncbi.nlm.nih.gov/35769139/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,Applications ofdeeplearningin understanding gene regulation.,"Li Z, Gao E, Zhou J, Han W, Xu X, Gao X.",Cell Rep Methods. 2023 Jan 11;3(1):100384. doi: 10.1016/j.crmeth.2022.100384. eCollection 2023 Jan 23.,https://pubmed.ncbi.nlm.nih.gov/36814848/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=2,"Deeplearningin retrosynthesis planning: datasets, models and tools.","Dong J, Zhao M, Liu Y, Su Y, Zeng X.",Brief Bioinform. 2022 Jan 17;23(1):bbab391. doi: 10.1093/bib/bbab391.,https://pubmed.ncbi.nlm.nih.gov/34571535/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,Deeplearninga boon for biophotonics?,"Pradhan P, Guo S, Ryabchykov O, Popp J, Bocklitz TW.",J Biophotonics. 2020 Jun;13(6):e201960186. doi: 10.1002/jbio.201960186. Epub 2020 Mar 30.,https://pubmed.ncbi.nlm.nih.gov/32167235/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,Deeplearningmodels will shape the future of stem cell research.,"Ouyang JF, Chothani S, Rackham OJL.",Stem Cell Reports. 2023 Jan 10;18(1):6-12. doi: 10.1016/j.stemcr.2022.11.007.,https://pubmed.ncbi.nlm.nih.gov/36630908/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,Deep-learningfor microscopy.,David DJV.,Nat Cell Biol. 2022 Sep;24(9):1321. doi: 10.1038/s41556-022-00995-9.,https://pubmed.ncbi.nlm.nih.gov/36075975/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,DeepLearningfor Natural Language Processing in Radiology-Fundamentals and a Systematic Review.,"Sorin V, Barash Y, Konen E, Klang E.",J Am Coll Radiol. 2020 May;17(5):639-648. doi: 10.1016/j.jacr.2019.12.026. Epub 2020 Jan 28.,https://pubmed.ncbi.nlm.nih.gov/32004480/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,Deeplearningin clinical natural language processing: a methodical review.,"Wu S, Roberts K, Datta S, Du J, Ji Z, Si Y, Soni S, Wang Q, Wei Q, Xiang Y, Zhao B, Xu H.",J Am Med Inform Assoc. 2020 Mar 1;27(3):457-470. doi: 10.1093/jamia/ocz200.,https://pubmed.ncbi.nlm.nih.gov/31794016/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,DeepLearningin Bioinformatics and Biomedicine.,"Wang H, Hu X.",Methods. 2023 Jan;209:38-39. doi: 10.1016/j.ymeth.2022.12.001. Epub 2022 Dec 9.,https://pubmed.ncbi.nlm.nih.gov/36503039/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,DeepLearningin Human Activity Recognition with Wearable Sensors: A Review on Advances.,"Zhang S, Li Y, Zhang S, Shahabi F, Xia S, Deng Y, Alshurafa N.",Sensors (Basel). 2022 Feb 14;22(4):1476. doi: 10.3390/s22041476.,https://pubmed.ncbi.nlm.nih.gov/35214377/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,DeepLearning: Orthopaedic Research Evolves for the Future.,"Taunton MJ, Liu SS, Mont MA.",J Arthroplasty. 2023 Oct;38(10):1919-1920. doi: 10.1016/j.arth.2023.08.070.,https://pubmed.ncbi.nlm.nih.gov/37734830/
