source_url,title,authors,journal_info,abstract_url
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,A guide tomachinelearningfor biologists.,"Greener JG, Kandathil SM, Moffat L, Jones DT.",Nat Rev Mol Cell Biol. 2022 Jan;23(1):40-55. doi: 10.1038/s41580-021-00407-0. Epub 2021 Sep 13.,https://pubmed.ncbi.nlm.nih.gov/34518686/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,eDoctor:machinelearningand the future of medicine.,"Handelman GS, Kok HK, Chandra RV, Razavi AH, Lee MJ, Asadi H.",J Intern Med. 2018 Dec;284(6):603-619. doi: 10.1111/joim.12822. Epub 2018 Sep 3.,https://pubmed.ncbi.nlm.nih.gov/30102808/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,SupervisedMachineLearning: A Brief Primer.,"Jiang T, Gradus JL, Rosellini AJ.",Behav Ther. 2020 Sep;51(5):675-687. doi: 10.1016/j.beth.2020.05.002. Epub 2020 May 16.,https://pubmed.ncbi.nlm.nih.gov/32800297/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,Machinelearningfor cardiology.,"Arfat Y, Mittone G, Esposito R, Cantalupo B, DE Ferrari GM, Aldinucci M.",Minerva Cardiol Angiol. 2022 Feb;70(1):75-91. doi: 10.23736/S2724-5683.21.05709-4. Epub 2021 Aug 2.,https://pubmed.ncbi.nlm.nih.gov/34338485/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,MachineLearningfor Medical Imaging.,"Erickson BJ, Korfiatis P, Akkus Z, Kline TL.",Radiographics. 2017 Mar-Apr;37(2):505-515. doi: 10.1148/rg.2017160130. Epub 2017 Feb 17.,https://pubmed.ncbi.nlm.nih.gov/28212054/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,MachineLearningApproaches for Clinical Psychology and Psychiatry.,"Dwyer DB, Falkai P, Koutsouleris N.",Annu Rev Clin Psychol. 2018 May 7;14:91-118. doi: 10.1146/annurev-clinpsy-032816-045037. Epub 2018 Jan 29.,https://pubmed.ncbi.nlm.nih.gov/29401044/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,MachineLearning-Driven Biomaterials Evolution.,"Suwardi A, Wang F, Xue K, Han MY, Teo P, Wang P, Wang S, Liu Y, Ye E, Li Z, Loh XJ.",Adv Mater. 2022 Jan;34(1):e2102703. doi: 10.1002/adma.202102703. Epub 2021 Oct 7.,https://pubmed.ncbi.nlm.nih.gov/34617632/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,Machinelearningand protein allostery.,"Xiao S, Verkhivker GM, Tao P.",Trends Biochem Sci. 2023 Apr;48(4):375-390. doi: 10.1016/j.tibs.2022.12.001. Epub 2022 Dec 21.,https://pubmed.ncbi.nlm.nih.gov/36564251/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,"AI,MachineLearning, and ChatGPT in Hypertension.",Layton AT.,Hypertension. 2024 Apr;81(4):709-716. doi: 10.1161/HYPERTENSIONAHA.124.19468. Epub 2024 Feb 21.,https://pubmed.ncbi.nlm.nih.gov/38380541/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=1,Big data andmachinelearningalgorithms for health-care delivery.,"Ngiam KY, Khor IW.",Lancet Oncol. 2019 May;20(5):e262-e273. doi: 10.1016/S1470-2045(19)30149-4.,https://pubmed.ncbi.nlm.nih.gov/31044724/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=2,Machinelearningin haematological malignancies.,"Radakovich N, Nagy M, Nazha A.",Lancet Haematol. 2020 Jul;7(7):e541-e550. doi: 10.1016/S2352-3026(20)30121-6.,https://pubmed.ncbi.nlm.nih.gov/32589980/
https://pubmed.ncbi.nlm.nih.gov/?term=machine%20learning&page=2,Machinelearningapplications in epilepsy.,"Abbasi B, Goldenholz DM.",Epilepsia. 2019 Oct;60(10):2037-2047. doi: 10.1111/epi.16333. Epub 2019 Sep 3.,https://pubmed.ncbi.nlm.nih.gov/31478577/
