source_url,title,authors,publication_date,doi,citation_count,openalex_url
https://api.openalex.org/works?filter=title.search:machine%20learning,"Genetic algorithms in search, optimization, and machine learning",,1989-10-01,https://doi.org/10.5860/choice.27-0936,50068,
https://api.openalex.org/works?filter=title.search:machine%20learning,C4.5: Programs for Machine Learning,J. R. Quinlan,1992-10-15,,24206,
https://api.openalex.org/works?filter=title.search:machine%20learning,UCI Machine Learning Repository,Arthur Asuncion,2007-01-01,,25156,
https://api.openalex.org/works?filter=title.search:machine%20learning,Pattern Recognition and Machine Learning,Christopher Bishop,2007-01-01,https://doi.org/10.1117/1.2819119,22843,
https://api.openalex.org/works?filter=title.search:machine%20learning,Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams",2005-11-23,https://doi.org/10.7551/mitpress/3206.001.0001,19028,
https://api.openalex.org/works?filter=title.search:machine%20learning,Data Mining: Practical Machine Learning Tools and Techniques,"Ian H. Witten, Eibe Frank, Mark A. Hall",2011-01-01,https://doi.org/10.1016/c2009-0-19715-5,25419,
https://api.openalex.org/works?filter=title.search:machine%20learning,"Genetic algorithms in search, optimization, and machine learning",David E. Goldberg,1988-09-01,,15272,
https://api.openalex.org/works?filter=title.search:machine%20learning,UCI Repository of machine learning databases,Catherine Blake,1998-01-01,,10544,
https://api.openalex.org/works?filter=title.search:machine%20learning,Gaussian Processes for Machine Learning,"Carl Edward Rasmussen, Christopher K. I. Williams",2005-11-23,,11091,
https://api.openalex.org/works?filter=title.search:machine%20learning,Pattern Recognition and Machine Learning,,2006-01-01,https://doi.org/10.1007/978-0-387-45528-0,9602,
https://api.openalex.org/works?filter=title.search:machine%20learning,Machine Learning : A Probabilistic Perspective,Kevin P. Murphy,2012-08-24,,9606,
https://api.openalex.org/works?filter=title.search:machine%20learning,Pattern Recognition and Machine Learning,W.R. Howard,2007-02-20,https://doi.org/10.1108/03684920710743466,8604,
https://api.openalex.org/works?filter=title.search:machine%20learning,Ensemble Methods in Machine Learning,Thomas G. Dietterich,2000-01-01,https://doi.org/10.1007/3-540-45014-9_1,7313,
https://api.openalex.org/works?filter=title.search:machine%20learning,Programs for Machine Learning,"Steven L. Salzberg, Alberto M. Segre",1994-01-01,,5935,
https://api.openalex.org/works?filter=title.search:machine%20learning,Proceedings of the 24th international conference on Machine learning,"John Langford, Joëlle Pineau",2007-06-20,https://doi.org/10.1145/1273496,9243,
https://api.openalex.org/works?filter=title.search:machine%20learning,Machine learning in automated text categorization,Fabrizio Sebastiani,2002-03-01,https://doi.org/10.1145/505282.505283,7988,
https://api.openalex.org/works?filter=title.search:machine%20learning,TensorFlow: A system for large-scale machine learning,"Martı́n Abadi, Paul Barham, Jianmin Chen, Zhifeng Chen, Andy Davis, Jay B. Dean, Matthieu Devin, Sanjay Ghemawat, Geoffrey Irving, Michael Isard, Manjunath Kudlur, Josh Levenberg, Rajat Monga, Sherry Moore, Derek G. Murray, Benoit Steiner, Paul A. Tucker, Vijay Vasudevan, Pete Warden, Martin Wicke, Yuan Yu, Xiaoqiang Zheng",2016-01-01,https://doi.org/10.48550/arxiv.1605.08695,9397,
https://api.openalex.org/works?filter=title.search:machine%20learning,"Machine learning: Trends, perspectives, and prospects","Michael I. Jordan, Tom M. Mitchell",2015-07-16,https://doi.org/10.1126/science.aaa8415,8079,
https://api.openalex.org/works?filter=title.search:machine%20learning,Pattern Recognition and Machine Learning (Information Science and Statistics),Chris Bishop,2006-08-01,,8563,
https://api.openalex.org/works?filter=title.search:machine%20learning,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,"Martı́n Abadi, Ashish Agarwal, Paul Barham, Eugene Brevdo, Zhifeng Chen, Craig Citro, Gregory S. Corrado, Andy Davis, Jay B. Dean, Matthieu Devin, Sanjay Ghemawat, Ian Goodfellow, Andrew Harp, Geoffrey Irving, Michael Isard, Yangqing Jia, Rafał Józefowicz, Łukasz Kaiser, Manjunath Kudlur, Josh Levenberg, Dan Mané, Rajat Monga, Sherry Moore, Derek G. Murray, Chris Olah, Mike Schuster, Jonathon Shlens, Benoit Steiner, Ilya Sutskever, Kunal Talwar, Paul A. Tucker, Vincent Vanhoucke, Vijay Vasudevan, Fernanda Viégas, Oriol Vinyals, Pete Warden, Martin Wattenberg, Martin Wicke, Yuan Yu, Xiaoqiang Zheng",2016-01-01,https://doi.org/10.48550/arxiv.1603.04467,9247,
https://api.openalex.org/works?filter=title.search:machine%20learning,Scikit-learn: Machine Learning in Python,"PedregosaFabian, VaroquauxGaël, GramfortAlexandre, MichelVincent, ThirionBertrand, GriselOlivier, BlondelMathieu, PrettenhoferPeter, WeissRon, DubourgVincent, VanderplasJake, PassosAlexandre, CournapeauDavid, BrucherMatthieu, PerrotMatthieu, DuchesnayÉdouard",2011-11-01,https://doi.org/10.5555/1953048.2078195,6847,
https://api.openalex.org/works?filter=title.search:machine%20learning,Text categorization with Support Vector Machines: Learning with many relevant features,Thorsten Joachims,1998-01-01,https://doi.org/10.1007/bfb0026683,7987,
