uid,title,authors,venue,year,date,doi,abstract_url,pdf_url,url,source,query,crawled_at,extra
doi:10.3322/caac.21660,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,"Hyuna Sung, Jacques Ferlay, Rebecca L. Siegel, Mathieu Laversanne, Isabelle Soerjomataram, Ahmedin Jemal, Freddie Bray",,,2021-02-04,10.3322/caac.21660,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 109893, ""openalex_url"": """"}"
doi:10.3322/caac.21492,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,"Freddie Bray, Jacques Ferlay, Isabelle Soerjomataram, Rebecca L. Siegel, Lindsey A. Torre, Ahmedin Jemal",,,2018-09-12,10.3322/caac.21492,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 86696, ""openalex_url"": """"}"
doi:10.3322/caac.20107,Global cancer statistics,"Ahmedin Jemal, Freddie Bray, Melissa M. Center, Jacques Ferlay, Elizabeth Ward",,,2011-02-04,10.3322/caac.20107,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 54968, ""openalex_url"": """"}"
doi:10.1016/j.cell.2011.02.013,Hallmarks of Cancer: The Next Generation,"Douglas Hanahan, Robert A. Weinberg",,,2011-03-01,10.1016/j.cell.2011.02.013,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 65200, ""openalex_url"": """"}"
doi:10.1016/s0092-8674(00)81683-9,The Hallmarks of Cancer,"Douglas Hanahan, Robert A. Weinberg",,,2000-01-01,10.1016/s0092-8674(00)81683-9,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 28331, ""openalex_url"": """"}"
doi:10.3322/caac.21262,"Global cancer statistics, 2012","Lindsey A. Torre, Freddie Bray, Rebecca L. Siegel, Jacques Ferlay, Joannie Lortet‐Tieulent, Ahmedin Jemal",,,2015-02-04,10.3322/caac.21262,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 27230, ""openalex_url"": """"}"
doi:10.3322/caac.21551,"Cancer statistics, 2019","Rebecca L. Siegel, Kimberly D. Miller, Ahmedin Jemal",,,2019-01-01,10.3322/caac.21551,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 20732, ""openalex_url"": """"}"
doi:10.3322/caac.21590,"Cancer statistics, 2020","Rebecca L. Siegel, Kimberly D. Miller, Ahmedin Jemal",,,2020-01-01,10.3322/caac.21590,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 21084, ""openalex_url"": """"}"
doi:10.3322/caac.21708,"Cancer statistics, 2022","Rebecca L. Siegel, Kimberly D. Miller, Hannah E. Fuchs, Ahmedin Jemal",,,2022-01-01,10.3322/caac.21708,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 17923, ""openalex_url"": """"}"
doi:10.3322/caac.21654,"Cancer Statistics, 2021","Rebecca L. Siegel, Kimberly D. Miller, Hannah E. Fuchs, Ahmedin Jemal",,,2021-01-01,10.3322/caac.21654,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 17159, ""openalex_url"": """"}"
doi:10.1159/000453569,PD-1 and PD-L1 Immune Checkpoint Blockade to Treat Breast Cancer,"Andreas D. Hartkopf, Florin‐Andrei Taran, Markus Wallwiener, Christina B. Walter, Bernhard Krämer, Eva‐Maria Grischke, Sara Y. Brucker",,,2016-01-01,10.1159/000453569,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 30895, ""openalex_url"": """"}"
doi:10.3322/canjclin.55.2.74,"Global Cancer Statistics, 2002","Donald Maxwell Parkin, Freddie Bray, Jacques Ferlay, Paola Pisani",,,2005-03-01,10.3322/canjclin.55.2.74,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 18359, ""openalex_url"": """"}"
doi:10.3322/caac.21834,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,"Freddie Bray, Mathieu Laversanne, Hyuna Sung, Jacques Ferlay, Rebecca L. Siegel, Isabelle Soerjomataram, Ahmedin Jemal",,,2024-04-04,10.3322/caac.21834,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 19872, ""openalex_url"": """"}"
doi:10.3322/caac.21442,"Cancer statistics, 2018","Rebecca L. Siegel, Kimberly D. Miller, Ahmedin Jemal",,,2018-01-01,10.3322/caac.21442,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 16843, ""openalex_url"": """"}"
doi:10.1002/ijc.29210,"Cancer incidence and mortality worldwide: Sources, methods and major patterns in GLOBOCAN 2012","Jacques Ferlay, Isabelle Soerjomataram, Rajesh Dikshit, Sultan Eser, Colin Mathers, Marise Souto Rebelo, Donald Maxwell Parkin, David Forman, Freddie Bray",,,2014-09-13,10.1002/ijc.29210,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 28789, ""openalex_url"": """"}"
doi:10.3322/caac.21763,"Cancer statistics, 2023","Rebecca L. Siegel, Kimberly D. Miller, Nikita Sandeep Wagle, Ahmedin Jemal",,,2023-01-01,10.3322/caac.21763,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 16163, ""openalex_url"": """"}"
doi:10.3322/caac.21332,"Cancer statistics, 2016","Rebecca L. Siegel, Kimberly D. Miller, Ahmedin Jemal",,,2016-01-01,10.3322/caac.21332,,,https://api.openalex.org/works?search=cancer&per_page=25,api.openalex.org,,2026-03-04T15:49:16.202170+00:00,"{""citation_count"": 16109, ""openalex_url"": """"}"
