source_url,title,authors,abstract_url,pdf_url
https://arxiv.org/list/cs.LG/recent,Equivariance by Contrast: Identifiable Equivariant Embeddings from Unlabeled Finite Group Actions,"Tobias Schmidt, Steffen Schneider, Matthias Bethge",https://arxiv.org/abs/2510.21706,https://arxiv.org/pdf/2510.21706
https://arxiv.org/list/cs.LG/recent,Mechanistic Interpretability for Neural TSP Solvers,"Reuben Narad, Leonard Boussioux, Michael Wagner",https://arxiv.org/abs/2510.21693,https://arxiv.org/pdf/2510.21693
https://arxiv.org/list/cs.LG/recent,On Uncertainty Calibration for Equivariant Functions,"Edward Berman, Jacob Ginesin, Marco Pacini, Robin Walters",https://arxiv.org/abs/2510.21691,https://arxiv.org/pdf/2510.21691
https://arxiv.org/list/cs.LG/recent,Optimal Graph Clustering without Edge Density Signals,"Maximilien Dreveton, Elaine Siyu Liu, Matthias Grossglauser, Patrick Thiran",https://arxiv.org/abs/2510.21669,https://arxiv.org/pdf/2510.21669
https://arxiv.org/list/cs.LG/recent,DEEDEE: Fast and Scalable Out-of-Distribution Dynamics Detection,"Tala Aljaafari, Varun Kanade, Philip Torr, Christian Schroeder de Witt",https://arxiv.org/abs/2510.21638,https://arxiv.org/pdf/2510.21638
https://arxiv.org/list/cs.LG/recent,Few-Shot Knowledge Distillation of LLMs With Counterfactual Explanations,"Faisal Hamman, Pasan Dissanayake, Yanjun Fu, Sanghamitra Dutta",https://arxiv.org/abs/2510.21631,https://arxiv.org/pdf/2510.21631
https://arxiv.org/list/cs.LG/recent,Generative Correlation Manifolds: Generating Synthetic Data with Preserved Higher-Order Correlations,"Jens E. d'Hondt, Wieger R. Punter, Odysseas Papapetrou",https://arxiv.org/abs/2510.21610,https://arxiv.org/pdf/2510.21610
https://arxiv.org/list/cs.LG/recent,Generalised Flow Maps for Few-Step Generative Modelling on Riemannian Manifolds,"Oscar Davis, Michael S. Albergo, Nicholas M. Boffi, Michael M. Bronstein, Avishek Joey Bose",https://arxiv.org/abs/2510.21608,https://arxiv.org/pdf/2510.21608
https://arxiv.org/list/cs.LG/recent,SHAP Meets Tensor Networks: Provably Tractable Explanations with Parallelism,"Reda Marzouk, Shahaf Bassan, Guy Katz",https://arxiv.org/abs/2510.21599,https://arxiv.org/pdf/2510.21599
https://arxiv.org/list/cs.LG/recent,Accelerating Data Generation for Nonlinear temporal PDEs via homologous perturbation in solution space,"Lei Liu, Zhenxin Huang, Hong Wang, huanshuo dong, Haiyang Xin, Hongwei Zhao, Bin Li",https://arxiv.org/abs/2510.21592,https://arxiv.org/pdf/2510.21592
