source_url,title,authors,journal,url
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,"Introduction toMachineLearning, Neural Networks, and DeepLearning.","Choi RY, Coyner AS, Kalpathy-Cramer J, Chiang MF, Campbell JP.",Transl Vis Sci Technol. 2020 Feb 27;9(2):14. doi: 10.1167/tvst.9.2.14.,https://pubmed.ncbi.nlm.nih.gov/32704420/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,A guide tomachinelearningfor biologists.,"Greener JG, Kandathil SM, Moffat L, Jones DT.",Nat Rev Mol Cell Biol. 2022 Jan;23(1):40-55. doi: 10.1038/s41580-021-00407-0. Epub 2021 Sep 13.,https://pubmed.ncbi.nlm.nih.gov/34518686/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,eDoctor:machinelearningand the future of medicine.,"Handelman GS, Kok HK, Chandra RV, Razavi AH, Lee MJ, Asadi H.",J Intern Med. 2018 Dec;284(6):603-619. doi: 10.1111/joim.12822. Epub 2018 Sep 3.,https://pubmed.ncbi.nlm.nih.gov/30102808/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,SupervisedMachineLearning: A Brief Primer.,"Jiang T, Gradus JL, Rosellini AJ.",Behav Ther. 2020 Sep;51(5):675-687. doi: 10.1016/j.beth.2020.05.002. Epub 2020 May 16.,https://pubmed.ncbi.nlm.nih.gov/32800297/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,Machinelearningfor cardiology.,"Arfat Y, Mittone G, Esposito R, Cantalupo B, DE Ferrari GM, Aldinucci M.",Minerva Cardiol Angiol. 2022 Feb;70(1):75-91. doi: 10.23736/S2724-5683.21.05709-4. Epub 2021 Aug 2.,https://pubmed.ncbi.nlm.nih.gov/34338485/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,Review ofmachinelearningand deeplearningmodels for toxicity prediction.,"Guo W, Liu J, Dong F, Song M, Li Z, Khan MKH, Patterson TA, Hong H.",Exp Biol Med (Maywood). 2023 Nov;248(21):1952-1973. doi: 10.1177/15353702231209421. Epub 2023 Dec 6.,https://pubmed.ncbi.nlm.nih.gov/38057999/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,MachineLearningPrinciples for Radiology Investigators.,Borstelmann SM.,Acad Radiol. 2020 Jan;27(1):13-25. doi: 10.1016/j.acra.2019.07.030.,https://pubmed.ncbi.nlm.nih.gov/31818379/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,A Review onMachineLearningfor EEG Signal Processing in Bioengineering.,"Hosseini MP, Hosseini A, Ahi K.",IEEE Rev Biomed Eng. 2021;14:204-218. doi: 10.1109/RBME.2020.2969915. Epub 2021 Jan 22.,https://pubmed.ncbi.nlm.nih.gov/32011262/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,"The use of artificial intelligence,machinelearningand deeplearningin oncologic histopathology.","Sultan AS, Elgharib MA, Tavares T, Jessri M, Basile JR.",J Oral Pathol Med. 2020 Oct;49(9):849-856. doi: 10.1111/jop.13042. Epub 2020 Jun 15.,https://pubmed.ncbi.nlm.nih.gov/32449232/
https://pubmed.ncbi.nlm.nih.gov/?term=machine+learning,Machinelearningin suicide science: Applications and ethics.,"Linthicum KP, Schafer KM, Ribeiro JD.",Behav Sci Law. 2019 May;37(3):214-222. doi: 10.1002/bsl.2392. Epub 2019 Jan 4.,https://pubmed.ncbi.nlm.nih.gov/30609102/
