ngram,count
cancer statistics,16
global cancer,6
global cancer statistics,6
incidence mortality,4
incidence mortality worldwide,4
mortality worldwide,4
185 countries,3
36 cancers,3
36 cancers 185,3
cancers 185,3
cancers 185 countries,3
estimates incidence,3
estimates incidence mortality,3
globocan estimates,3
globocan estimates incidence,3
mortality worldwide 36,3
worldwide 36,3
worldwide 36 cancers,3
cancer genomics,2
cancer statistics 2018,2
cancer statistics 2020,2
cancer statistics 2022,2
hallmarks cancer,2
statistics 2018,2
statistics 2020,2
statistics 2022,2
2008 globocan,1
2008 globocan 2008,1
2018 globocan,1
2018 globocan estimates,1
