ngram,count
neural networks,56
neural network,36
time series,32
large language,28
image classification,22
self supervised,19
anomaly detection,18
multi scale,18
large scale,17
real time,15
physics informed,13
remote sensing,13
explainable ai,12
medical image,12
multi modal,12
real world,12
series forecasting,12
convolutional neural,11
high resolution,11
super resolution,11
time series forecasting,11
artificial intelligence,10
comprehensive survey,10
multi agent,10
fine tuning,9
pre trained,9
spatio temporal,9
state space,9
fault diagnosis,8
graph neural,8
