ngram,count
artificial intelligence,106
systematic review,78
drug discovery,26
breast cancer,21
application ofmachinelearningin,19
covid 19,18
scoping review,17
applications ofmachinelearningin,16
artificial intelligence andmachinelearningin,16
intelligence andmachinelearningin,16
decision making,15
future directions,11
health care,11
lung cancer,11
mental health,11
clinical decision,10
literature review,10
narrative review,10
risk prediction,10
comprehensive review,9
machinelearningto predict,9
decision support,8
disease prediction,8
electronic health,8
heart disease,8
logistic regression,8
neural networks,8
older adults,8
opportunities challenges,8
parkinson disease,8
