ngram,count
fairy tales,4
attributed source,3
happens drink,3
indifference opposite,3
inspirational life,3
always always,2
become man,2
best friends,2
books classic,2
books library,2
break heart,2
come go,2
death life,2
die time,2
difficult grown,2
difficult grown ups,2
every day,2
everyone else,2
friendship lack,2
friendship love,2
going mess,2
grown ups,2
grown ups write,2
has never,2
hate indifference,2
hope inspirational,2
intelligent read,2
intelligent read fairy,2
lack friendship,2
lack love,2
